cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_approximated,bottom_mean_values_approximated,top_approximated_gradient,bottom_approximated_gradient
1,134,128,exp_14,,,385.37350043406417,385.7882618982835,,
2,159,153,exp_14,25.0,25.0,293.6567638863286,285.0659649226984,-91.7167365477356,-100.7222969755851
3,212,201,exp_14,53.0,48.0,227.76209215707485,212.6534270052514,-65.89467172925373,-72.41253791744703
4,236,223,exp_14,24.0,22.0,186.52819342847317,167.09485807417803,-41.23389872860167,-45.55856893107335
5,277,263,exp_14,41.0,40.0,168.78160763690965,146.93673655980035,-17.74658579156352,-20.158121514377683
6,331,314,exp_14,54.0,51.0,173.33670647298612,150.7278093945269,4.555098836076468,3.791072834726549
7,376,356,exp_14,45.0,42.0,198.99569338151974,177.01909201285298,25.65898690853362,26.29128261832608
8,426,404,exp_14,50.0,48.0,244.54860356154353,224.36386835136045,45.55291018002379,47.34477633850747
9,482,457,exp_14,56.0,53.0,308.7733039663063,291.3176908487176,64.22470040476276,66.95382249735712
10,555,538,exp_14,73.0,81.0,390.43549330327227,376.43838044567906,81.66218933696598,85.12068959696148
11,616,607,exp_14,61.0,69.0,488.28870203412174,478.28602658508635,97.85320873084947,101.84764613940729
12,662,631,exp_14,46.0,24.0,601.0742923747507,595.4229872118674,112.78559034062897,117.13696062678105
13,704,691,exp_14,42.0,60.0,727.5214582952697,726.4138887730371,126.44716592051896,130.99090156116972
14,805,777,exp_14,101.0,86.0,866.3472255200063,869.8256262176967,138.82576722473664,143.4117374446596
15,901,896,exp_14,96.0,119.0,1016.2564515275033,1024.2273629970334,149.90922600749695,154.40173677933672
16,1005,1015,exp_14,104.0,119.0,1175.9418255505188,1188.1905310643217,159.68537402301558,163.96316806728828
17,1152,1175,exp_14,147.0,160.0,1344.0838685760273,1360.2888308749227,168.14204302550843,172.09829981060102
18,1296,1331,exp_14,144.0,156.0,1519.3509333452184,1539.098231386283,175.26706476919117,178.8094005113603
19,1461,1511,exp_14,165.0,180.0,1700.3992043534972,1723.1969700579364,181.0482710082788,184.09873867165334
20,1670,1730,exp_14,209.0,219.0,1885.872697850485,1911.1655528515055,185.47349349698789,187.9685827935691
21,1850,1910,exp_14,180.0,180.0,2074.40326184002,2101.586754230694,188.53056398953504,190.4212013791887
22,2036,2087,exp_14,186.0,177.0,2264.610576080152,2293.0456171612996,190.20731424013184,191.4588629306054
23,2238,2294,exp_14,202.0,207.0,2455.10215208315,2484.129453111198,190.49157600299804,191.08383594989846
24,2424,2444,exp_14,186.0,150.0,2644.4733331154994,2673.427842050359,189.37118103234934,189.29838893916076
25,2545,2566,exp_14,121.0,122.0,2831.3072941978985,2859.532632450834,186.83396108239913,186.1047904004754
26,2706,2720,exp_14,161.0,154.0,3014.1750421052625,3041.037941286765,182.867747907364,181.50530883593092
27,4095,4095,exp_14,1389.0,1375.0,3191.6354153667207,3216.540154034379,177.46037326145824,175.50221274761407
28,4095,4095,exp_14,0.0,0.0,3362.2350842656233,3384.6379246719853,170.59966889890256,168.09777063760612
29,4095,4095,exp_14,0.0,0.0,3524.508550839528,3543.9321756799864,162.2734665739049,159.29425100800108
30,4095,4095,exp_14,0.0,0.0,3676.978148880216,3693.0260980408666,152.46959804068774,149.09392236088024
31,4095,4095,exp_14,0.0,0.0,3818.1540439336795,3830.5251512392006,141.1758950534636,137.49905319833397
32,4095,4095,exp_14,0.0,0.0,3946.534233300129,3955.037063261646,128.38018936644949,124.51191202244536
33,4095,4095,exp_14,0.0,0.0,4060.6045460339874,4065.171830596948,114.07031273385837,110.13476733530206
34,4095,4095,exp_14,0.0,0.0,4158.838642943895,4159.541718235945,98.23409690990775,94.36988763899717
35,4095,4095,exp_14,0.0,0.0,4239.69801659271,4236.761259671545,80.85937364881465,77.21954143560015
36,4095,4095,exp_14,0.0,0.0,4301.631991297503,4295.447256898761,61.9339747047934,58.68599722721592
37,4095,4095,exp_14,0.0,0.0,4343.077723129564,4334.218780414685,41.44573183206103,38.771523515923946
38,4095,4095,exp_14,0.0,0.0,4362.460199914391,4351.6971692184925,19.382476784826395,17.47838880380732
39,4095,4095,exp_14,0.0,0.0,4358.192241231707,4346.506030811453,-4.267958682683457,-5.191138407039944
40,4095,4095,exp_14,0.0,0.0,4328.674498415446,4317.271241196914,-29.51774281626149,-29.234789614538386
41,4095,4095,exp_14,0.0,0.0,4272.29545455376,4262.620944880315,-56.379043861686114,-54.65029631659945
42,4095,4095,exp_14,0.0,0.0,4187.431424489009,4181.185554869182,-84.8640300647503,-81.43539001113277
43,4095,4095,exp_14,0.0,0.0,4072.4465548177814,4071.597752673123,-114.9848696712279,-109.58780219605887
44,4095,4095,exp_14,0.0,0.0,3925.692823890866,3932.492488303843,-146.75373092691552,-139.10526436928012
45,4095,4095,exp_14,0.0,0.0,3745.510041813285,3762.506980275117,-180.18278207758067,-169.98550802872614
